"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2020","6,824.70","6,716.98","6,825.47","6,778.75","198.54M","1.60%"
"May 14, 2020","6,716.98","6,721.24","6,731.82","6,680.75","158.06M","-0.06%"
"May 13, 2020","6,721.24","6,684.42","6,762.71","6,719.65","192.59M","0.55%"
"May 12, 2020","6,684.42","6,603.96","6,724.78","6,622.86","222.87M","1.22%"
"May 11, 2020","6,603.96","6,682.91","6,634.91","6,448.66","223.16M","-1.18%"
"May 10, 2020","6,682.91","6,628.53","6,706.51","6,658.13","148.05M","0.82%"
"May 07, 2020","6,628.53","6,655.11","6,677.85","6,602.67","177.48M","-0.40%"
"May 06, 2020","6,655.11","6,710.51","6,810.46","6,655.11","223.46M","-0.83%"
"May 05, 2020","6,710.51","6,595.97","6,762.41","6,700.88","228.55M","1.74%"
"May 04, 2020","6,595.97","6,585.58","6,672.83","6,492.53","252.06M","0.16%"
"May 03, 2020","6,585.58","7,112.90","6,726.67","6,575.31","305.74M","-7.41%"
"Apr 30, 2020","7,112.90","6,985.33","7,112.90","7,024.98","300.44M","1.83%"
"Apr 29, 2020","6,985.33","6,884.82","7,013.95","6,898.68","271.51M","1.46%"
"Apr 28, 2020","6,884.82","6,827.80","6,884.82","6,809.36","233.88M","0.84%"
"Apr 27, 2020","6,827.80","6,838.67","6,899.32","6,813.67","268.82M","-0.16%"
"Apr 26, 2020","6,838.67","6,604.90","6,843.59","6,698.51","234.07M","3.54%"
"Apr 23, 2020","6,604.90","6,541.47","6,640.64","6,587.31","201.61M","0.97%"
"Apr 22, 2020","6,541.47","6,496.72","6,564.00","6,444.71","199.49M","0.69%"
"Apr 21, 2020","6,496.72","6,601.07","6,554.60","6,454.93","189.54M","-1.58%"
"Apr 20, 2020","6,601.07","6,678.44","6,665.35","6,576.20","152.06M","-1.16%"
"Apr 19, 2020","6,678.44","6,631.69","6,712.47","6,652.98","140.65M","0.70%"
"Apr 16, 2020","6,631.69","6,813.67","6,806.35","6,631.69","162.60M","-2.67%"
"Apr 15, 2020","6,813.67","6,874.64","6,913.88","6,804.97","176.55M","-0.89%"
"Apr 14, 2020","6,874.64","6,804.54","6,874.64","6,791.82","175.01M","1.03%"
"Apr 13, 2020","6,804.54","6,865.74","6,914.17","6,804.54","169.32M","-0.89%"
"Apr 12, 2020","6,865.74","7,006.24","7,012.51","6,855.85","195.00M","-2.01%"
"Apr 09, 2020","7,006.24","6,999.34","7,073.95","6,988.96","239.31M","0.10%"
"Apr 08, 2020","6,999.34","6,986.40","6,999.34","6,926.61","238.61M","0.19%"
"Apr 07, 2020","6,986.40","6,860.92","6,986.40","6,854.15","262.77M","1.83%"
"Apr 06, 2020","6,860.92","6,752.19","6,860.92","6,731.47","212.84M","1.61%"
"Apr 05, 2020","6,752.19","6,749.69","6,881.39","6,738.70","278.74M","0.04%"
"Apr 02, 2020","6,749.69","6,569.39","6,749.69","6,600.57","262.64M","2.74%"
"Apr 01, 2020","6,569.39","6,505.35","6,569.39","6,479.28","170.89M","0.98%"
"Mar 31, 2020","6,505.35","6,373.29","6,529.26","6,396.27","219.73M","2.07%"
